id,Civilite,Age,EpouseFrat,ParentsEnf
id1,Miss,29,0,0
id2,Master,0.9167,1,2
id3,Miss,2,1,2
id4,Mr,30,1,2
id5,Mrs,25,1,2
id6,Mr,48,0,0
id7,Miss,63,1,0
id8,Mr,39,0,0
id9,Mrs,53,2,0
id10,Mr,71,0,0
id11,ColM,47,1,0
id12,Mrs,18,1,0
id13,Mme,24,0,0
id14,Miss,26,0,0
id15,Mr,80,0,0
id16,Mr,,0,0
id17,Mr,24,0,1
id18,Mrs,50,0,1
id19,Miss,32,0,0
id20,Mr,36,0,0
id21,Mr,37,1,1
id22,Mrs,47,1,1
id23,Mr,26,0,0
id24,Miss,42,0,0
id25,Miss,29,0,0
id26,Mr,25,0,0
id27,Mr,25,1,0
id28,Mrs,19,1,0
id29,Miss,35,0,0
id30,Mr,28,0,0
id31,Mr,45,0,0
id32,Mr,40,0,0
id33,Miss,30,0,0
id34,Miss,58,0,0
id35,Mr,42,0,0
id36,Miss,45,0,0
id37,Miss,22,0,1
id38,Mr,,0,0
id39,Mr,41,0,0
id40,Mr,48,0,0
id41,DrM,,0,0
id42,Mrs,44,0,0
id43,Mrs,59,2,0
id44,Mrs,60,0,0
id45,Miss,41,0,0
id46,Major,45,0,0
id47,Mr,,0,0
id48,Mr,42,0,0
id49,Mrs,53,0,0
id50,DrM,36,0,1
id51,DrF,58,0,1
id52,Mr,33,0,0
id53,Mr,28,0,0
id54,Mr,17,0,0
id55,Master,11,1,2
id56,Miss,14,1,2
id57,Mr,36,1,2
id58,Mrs,36,1,2
id59,Mr,49,0,0
id60,Mrs,,0,0
id61,Mr,36,1,0
id62,Mrs,76,1,0
id63,Mr,46,1,0
id64,Mrs,47,1,0
id65,Mr,27,1,0
id66,Mrs,33,1,0
id67,Miss,36,0,0
id68,Miss,30,0,0
id69,Mr,45,0,0
id70,Mrs,,0,1
id71,Mr,,0,0
id72,Mr,27,1,0
id73,Mrs,26,1,0
id74,Miss,22,0,0
id75,Mr,,0,0
id76,ColM,47,0,0
id77,Miss,39,1,1
id78,Mr,37,1,1
id79,Mrs,64,0,2
id80,Mrs,55,2,0
id81,Mr,,0,0
id82,,70,1,1
id83,Miss,36,0,2
