id,Classe,Survie,Prix,PortEmbarq
id1,1,1,211.3375,S
id2,1,1,151.55,S
id3,1,0,151.55,S
id4,1,0,151.55,S
id5,1,0,151.55,S
id6,1,1,26.55,S
id7,1,1,77.9583,S
id8,1,0,0,S
id9,1,1,51.4792,S
id10,1,0,49.5042,C
id11,1,0,227.525,C
id12,1,1,227.525,C
id13,1,1,69.3,C
id14,1,1,78.85,S
id15,1,1,30,S
id16,1,0,25.925,S
id17,1,0,247.5208,C
id18,1,1,247.5208,C
id19,1,1,76.2917,C
id20,1,0,75.2417,C
id21,1,1,52.5542,S
id22,1,1,52.5542,S
id23,1,1,30,C
id24,1,1,227.525,C
id25,1,1,221.7792,S
id26,1,0,26,C
id27,1,1,91.0792,C
id28,1,1,91.0792,C
id29,1,1,135.6333,S
id30,1,1,26.55,S
id31,1,0,35.5,S
id32,1,1,31,C
id33,1,1,164.8667,S
id34,1,1,26.55,S
id35,1,0,26.55,S
id36,1,1,262.375,C
id37,1,1,55,S
id38,1,1,26.55,S
id39,1,0,30.5,S
id40,1,0,50.4958,C
id41,1,0,39.6,C
id42,1,1,27.7208,C
id43,1,1,51.4792,S
id44,1,1,76.2917,C
id45,1,1,134.5,C
id46,1,0,26.55,S
id47,1,0,31,S
id48,1,1,26.2875,S
id49,1,1,27.4458,C
id50,1,1,512.3292,C
id51,1,1,512.3292,C
id52,1,0,5,S
id53,1,0,47.1,S
id54,1,0,47.1,S
id55,1,1,120,S
id56,1,1,120,S
id57,1,1,120,S
id58,1,1,120,S
id59,1,0,26,S
id60,1,1,27.7208,C
id61,1,0,78.85,S
id62,1,1,78.85,S
id63,1,0,61.175,S
id64,1,1,61.175,S
id65,1,1,53.1,S
id66,1,1,53.1,S
id67,1,1,262.375,C
id68,1,1,86.5,S
id69,1,1,29.7,C
id70,1,1,55,S
id71,1,0,0,S
id72,1,0,136.7792,C
id73,1,1,136.7792,C
id74,1,1,151.55,S
id75,1,0,52,S
id76,1,0,25.5875,S
id77,1,1,83.1583,C
id78,1,0,83.1583,C
id79,1,1,83.1583,C
id80,1,1,25.7,S
id81,1,0,26.55,S
id82,1,0,71,S
id83,1,1,71,S
id84,1,1,26.55,S
id85,1,0,71.2833,C
id86,1,1,71.2833,C
id87,1,1,26.55,S
id88,1,1,30.5,S
id89,1,1,151.55,S
id90,1,0,52,S
id91,1,1,52,S
id92,1,1,57,S
id93,1,1,57,S
id94,1,1,81.8583,S
id95,1,1,81.8583,S
id96,1,1,81.8583,S
id97,1,0,106.425,C
id98,1,1,247.5208,C
id99,1,1,106.425,C
id100,1,1,39.6,C
id101,1,1,56.9292,C
id102,1,0,29.7,C
id103,1,1,83.1583,C
id104,1,1,227.525,C
id105,1,1,78.2667,C
id106,1,0,31.6792,C
id107,1,0,221.7792,S
id108,1,1,31.6833,S
id109,1,1,110.8833,C
id110,1,1,26.3875,S
id111,1,0,27.75,C
id112,1,1,263,S
id113,1,1,263,S
id114,1,1,263,S
id115,1,0,263,S
id116,1,0,263,S
id117,1,1,263,S
id118,1,1,56.9292,C
id119,1,0,26.55,S
id120,1,1,133.65,S
id121,1,1,27.7208,C
id122,1,1,133.65,S
id123,1,1,49.5,C
id124,1,1,79.2,C
id125,1,1,79.2,C
id126,1,0,0,S
id127,1,0,53.1,S
id128,1,1,53.1,S
id129,1,0,38.5,S
id130,1,1,211.5,C
id131,1,1,59.4,C
id132,1,1,59.4,C
id133,1,0,79.2,C
id134,1,1,89.1042,C
id135,1,1,89.1042,C
id136,1,0,34.6542,C
id137,1,1,28.5,C
id138,1,1,30,S
id139,1,0,153.4625,S
id140,1,1,153.4625,S
id141,1,1,63.3583,C
id142,1,1,63.3583,C
id143,1,0,79.2,C
id144,1,1,55.4417,C
id145,1,1,55.4417,C
id146,1,1,76.7292,C
id147,1,1,76.7292,C
id148,1,0,42.4,S
id149,1,0,83.475,S
id150,1,1,83.475,S
id151,1,0,0,S
id152,1,1,76.7292,C
id153,1,1,30,S
id154,1,1,83.1583,C
id155,1,0,93.5,S
id156,1,1,93.5,S
id157,1,0,42.5,S
id158,1,0,51.8625,S
id159,1,0,50,S
id160,1,1,57.9792,C
id161,1,1,57.9792,C
id162,1,1,77.9583,S
id163,1,0,52,S
id164,1,1,52,S
